item,itemLabel,height,unitHeightLabel
http://www.wikidata.org/entity/Q52986147,Q52986147,1.7,metre
http://www.wikidata.org/entity/Q53228230,Argento,1.67,metre
http://www.wikidata.org/entity/Q62603149,Q62603149,1.69,metre
http://www.wikidata.org/entity/Q63323637,Ladykiller,1.64,metre
http://www.wikidata.org/entity/Q63372584,Romanov,1.67,metre
http://www.wikidata.org/entity/Q63373544,Q63373544,1.66,metre
http://www.wikidata.org/entity/Q63375504,Q63375504,1.69,metre
http://www.wikidata.org/entity/Q63381188,Q63381188,1.67,metre
http://www.wikidata.org/entity/Q63381200,Q63381200,1.67,metre
http://www.wikidata.org/entity/Q63383194,Q63383194,1.61,metre
http://www.wikidata.org/entity/Q63399896,Q63399896,1.71,metre
http://www.wikidata.org/entity/Q17177198,Diamant de Semilly,1.73,metre
http://www.wikidata.org/entity/Q17177327,Dollar du Mûrier,1.68,metre
http://www.wikidata.org/entity/Q17630567,Itot du Chateau,1.57,metre
http://www.wikidata.org/entity/Q18024215,Lombard,163,centimetre
http://www.wikidata.org/entity/Q18289260,Damon Hill,1.65,metre
http://www.wikidata.org/entity/Q18379120,Brooklyn Supreme,1.98,metre
http://www.wikidata.org/entity/Q19885842,Quickly de Kreisker,1.65,metre
http://www.wikidata.org/entity/Q19885842,Quickly de Kreisker,1.69,metre
http://www.wikidata.org/entity/Q20666480,Darco,1.66,metre
http://www.wikidata.org/entity/Q20723405,Jus de Pomme,1.68,metre
http://www.wikidata.org/entity/Q20724385,Chaman,1.73,metre
http://www.wikidata.org/entity/Q20724637,Flipper d'Elle,1.61,metre
http://www.wikidata.org/entity/Q20731586,Hello Sanctos,1.72,metre
http://www.wikidata.org/entity/Q20734754,Paladin des Ifs,1.7,metre
http://www.wikidata.org/entity/Q21007953,Armitages Boy,1.61,metre
http://www.wikidata.org/entity/Q21427676,Narcos II,1.68,metre
http://www.wikidata.org/entity/Q21427722,Orient Express*HDC,1.69,metre
http://www.wikidata.org/entity/Q21427740,Papillon Rouge,1.66,metre
http://www.wikidata.org/entity/Q22306589,Grand Veneur,1.68,metre
http://www.wikidata.org/entity/Q22306606,Venue du Tot,1.65,metre
http://www.wikidata.org/entity/Q22306685,Ecuyer I,1.66,metre
http://www.wikidata.org/entity/Q22306697,Elf III,1.69,metre
http://www.wikidata.org/entity/Q22306712,The Last Orange,1.61,metre
http://www.wikidata.org/entity/Q22312309,Quenotte B,1.65,metre
http://www.wikidata.org/entity/Q22314171,Corrado I,1.71,metre
http://www.wikidata.org/entity/Q22314168,Clinton,1.7,metre
http://www.wikidata.org/entity/Q22315210,Chanell II,1.72,metre
http://www.wikidata.org/entity/Q22315525,Landgraf I,1.66,metre
http://www.wikidata.org/entity/Q22318967,Quastor,1.65,metre
http://www.wikidata.org/entity/Q22319883,Double Espoir,1.64,metre
http://www.wikidata.org/entity/Q22320188,Fier de lui,1.75,metre
http://www.wikidata.org/entity/Q22320424,Amour du Bois,1.68,metre
http://www.wikidata.org/entity/Q22320501,Relique,1.65,metre
http://www.wikidata.org/entity/Q22321545,Reine de Since,1.58,metre
http://www.wikidata.org/entity/Q22323507,Nackson,1.62,metre
http://www.wikidata.org/entity/Q22323928,Tanael,1.66,metre
http://www.wikidata.org/entity/Q22324035,Uriel,1.68,metre
http://www.wikidata.org/entity/Q22324188,Corland,1.67,metre
http://www.wikidata.org/entity/Q22329202,Nimmerdor,1.68,metre
http://www.wikidata.org/entity/Q22329664,Magali,1.66,metre
http://www.wikidata.org/entity/Q22955711,Ramiro Z,1.75,metre
http://www.wikidata.org/entity/Q24931651,Robinson de Lafont*de Massa,1.67,metre
