Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
New Milford,1,15-1449-AR,10/01/2015,13:51,Male,White,FALSE,"6'3""",229,32,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,TRUE,,
New Haven,1,15-1473,11/01/2015,01:53,Male,Black,FALSE,"5'7""",160,23,C,,,,5 sec,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,
Trumbull,1,1500000450,11/01/2015,01:09,Male,White,FALSE,6',175,21,U,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,,TRUE,,,,,,,,TRUE,,TRUE,TRUE,,spit on officer,,,TRUE,,,,,,,,TRUE,,
Norwalk,1,15-01796,14/01/2015,06:40,Male,Black,FALSE,"5'2""",110,36,C,,,,6 sec,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer Identified Self,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,
New London,1,15-000003,15/01/2015,03:00,Male,White,TRUE,"5'10""",200,30,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
CSP (State Police),1,1500031332,16/01/2015,18:20,Male,Black,FALSE,"5'9""",170,39,C,D,,,"4 sec, 1 sec",2,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,TRUE,,,,,,,,,,TRUE,,,"revving engine, backing up towards officers",,,,,,,,,,,TRUE,,using motor vehicle to threaten law enforcement
New Britain,1,15-1393,17/01/2015,01:30,Male,Black,FALSE,"6'0""",180,32,C,,,,"1, 5 sec",1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,TRUE,,,,,,TRUE,,,,TRUE,,,,,exited vehicle and attempted to flee,,,,,TRUE,,,,,,TRUE,,
Enfield,1,C2015-03070,18/01/2015,12:50,Male,White,FALSE,"5'8""",190,28,C,,,,7 seconds,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,,,,,,,,,TRUE,medical,TRUE,,,,TRUE,TRUE,,drug use suspected,TRUE,TRUE,TRUE,,,,,,,,,,
New London,1,15-000198,20/01/2015,00:36,Male,Black,FALSE,"5'8""",190,38,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,
Norwalk,2,15-02887-2,20/01/2015,22:56,Male,White,TRUE,"6'2""",250,44,C,,,,"8 (5 sec each), 1 sec, 2 sec",10,TRUE,TRUE,,,TRUE,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,"passenger motor vehicle accident - DUI, public street",,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,resisting arrest
Norwalk,1,15-02887-1,20/01/2015,22:56,Male,White,TRUE,"5'4""",235,36,C,,,,5 sec,1,TRUE,TRUE,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,"passenger motor vehicle accident - DUI, public street",,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,interfering with arrest
Meriden,1,15-0534,22/01/2015,18:46,Male,White,TRUE,"5'10""",205,30,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,,knife,,,,,,,,,TRUE,,,TRUE,,
Suffield,1,15-9-AR,22/01/2015,16:15,Male,White,FALSE,"6'2""",250,22,D,,,"1, 4 seconds",,1,TRUE,TRUE,,TRUE,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,,resisted arrest/failed to comply with orders,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,
Norwalk,1,15-03390,24/01/2015,11:22,Male,White,FALSE,"5'10""",185,63,C,,,,"12 sec, 5 sec, 4 sec - dislodged/ineffective",3,TRUE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Vernon,1,15-1185,24/01/2015,10:21,Male,White,FALSE,"5'11""",209,20,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,
Norwalk,1,15-04010,25/01/2015,01:29,Male,White,FALSE,"5'8""",160,26,C,,,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Manchester,1,M201500936,26/01/2015,20:34,Male,White,FALSE,"5'7""",200,47,D,,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,
Wallingford,1,2015-1829,28/01/2015,21:32,Male,White,FALSE,"6'4""",230,52,C,,,,5 second cycle,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,body muscle resistance with knife in hand
Branford,1,15-2484,30/01/2015,10:11,Male,White,FALSE,"5'11""",180,53,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,,,,,Welfare check,TRUE,,,,,,,,,,,,,,,,,,TRUE,,
CSP (State Police),1,1500057386,30/01/2015,15:41,Male,Black,FALSE,"5'7""",175,31,C,,,,5 sec,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,
Norwalk,1,15-04263,30/01/2015,18:25,Male,Black,FALSE,"5'09""",145,22,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,baseball bat,,TRUE,,,,,,,,TRUE,,,,
Bridgeport,1,150131-019,31/01/2015,01:30,Male,Black,FALSE,"5'6""",150,23,D,,,7- 4sec. 2sec. 2sec. 1sec. 1 sec. 5 sec.,,7,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,
CSP (State Police),1,1500061731,01/02/2015,23:43,Male,White,FALSE,"6'1""",200,27,C,,,,"6 sec, 5 sec, 5 sec",3,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Farmington,1,15-1855,01/02/2015,01:54,Male,Black,FALSE,"5'11""",165,22,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,Actively fighting another individual
Norwalk,1,15-04577,01/02/2015,20:10,Male,Black,FALSE,"5'7""",226,12,C,,,,8 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,
Berlin,1,2015-02192,02/02/2015,17:57,Male,Asian,FALSE,"5'7""",150,18,C,,,,5 Seconds,1,TRUE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,metal pipe,,TRUE,,TRUE,TRUE,,,,,TRUE,,TRUE,,
Danbury,1,1500007027,04/02/2015,22:10,Male,White,TRUE,"6'0""",175,37,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,TRUE,
Norwalk,1,15-05036,05/02/2015,02:40,Male,White,TRUE,"5'3""",175,65,C,,,,5 sec,1,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,armed robbery of gas station,,,,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,fighting with initial officers
Bridgeport,1,150205-016,05/02/2015,01:58,Male,Black,FALSE,6',290,40,C,,,,"3, 7sec. 2sec. 5sec.",3,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,suspicious vehicle,TRUE,,,,,,,,,,,,TRUE,,,,,,,,
Bridgeport,1,150208-178,08/02/2015,17:05,Male,Black,FALSE,"5'10""",180,29,D,,,"1, 5 sec",,1,TRUE,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,Outdoors-Public Area,Officer in Uniform,,,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,
CSP (State Police),1,1500072985,08/02/2015,05:40,Male,Unknown,FALSE,Unknown,Unknown,28,D,,,5 sec,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,emergency commimal,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,
Hartford ,2,2015-04280,10/02/2015,06:55,Male,Black,FALSE,"5'9""",130,30,C,,,,"1, 5sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,Nude and bleeding from head,TRUE,,TRUE,,TRUE,TRUE,,,,,TRUE,,
Vernon,1,15-2066,11/02/2015,21:22,Female,Black,FALSE,"5'02""",200,48,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,armed with knife,,TRUE,,,TRUE,,Knife,,TRUE,,,,,,,TRUE,,,TRUE,,
East Hartford,1,15-03648,11/02/2015,20:28,Male,Unknown,TRUE,"5'10""",210,37,C,,,,5 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,
Mashantucket,2,15-56-AR,11/02/2015,01:07,Male,White,FALSE,"5'8""",200,26,C,,,,2,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Officer in Uniform,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Mashantucket,2,15-57-AR,11/02/2015,01:07,Male,White,FALSE,"5'11""",160,25,D,,,5 Seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,TRUE,,TRUE,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Waterbury,1,15-7699,12/02/2015,12:04,Male,White,FALSE,"5'3""",120,15,L,,display only,,,0,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,Educational Facility,Officer in Uniform,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,resisting arrest
New London,1,15-000406,13/02/2015,09:12,Male,White,FALSE,"5'9""",160,39,D,,2,5 seconds each,,1,TRUE,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,Indoors-Private Property,Marked Cruiser,,TRUE,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,
Branford,1,15-3772,14/02/2015,12:24,Male,White,FALSE,"6'0""",190,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,TRUE,,,,,,,TRUE,TRUE,,,Knife,,,,,,,,,,,,,TRUE,
New London,1,15-000424,15/02/2015,03:50,Male,Black,FALSE,"5'8""",145,28,C,D,1,6 seconds,4 seconds,2,TRUE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,Indoors-Private Property,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,
Orange,1,15-4683,16/02/2015,00:38,Male,White,FALSE,"6'0""",Unknown,23,W,,2 seconds,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
