id,name,currency
901830,Mocha Art Cafe,Rs.
900561,Tonico Cafe,Rs.
900551,Aavi,Rs.
18153935,Galito's,Rs.
95333,Chiyang,Rs.
100242,Shree Agarwal Caterers,Rs.
18748726,The Night Jar,Rs.
18641794,Shankar Samosa,Rs.
18903417,Chool,Rs.
18625823,Gulabi Nagari,Rs.
100756,Agarwal Sweets & Caterers,Rs.
102439,Muhammadi Palace,Rs.
100149,Kanha,Rs.
102695,Thali and More,Rs.
100910,Rawat Mishthan Bhandar,Rs.
18733012,Fat Lulu's,Rs.
100611,M.M. Khan Hotel,Rs.
18868487,Vegetrainian,Rs.
18602340,Stepout Cafe,Rs.
101736,Kanha,Rs.
100148,Kanha,Rs.
101212,Tapri Central,Rs.
101777,Kanha,Rs.
18467090,Manuhaar,Rs.
18578663,Masala Ministry,Rs.
18766005,The Esplendido Cafe,Rs.
18882467,Makeba - The Lounge Cafe,Rs.
110208,Honest,Rs.
18385186,The Cafe Baraco,Rs.
18396250,Huber & Holly,Rs.
18658177,Millhouse,Rs.
18672107,Eleven 11 Restro Cafe,Rs.
18902811,Legends Of Punjab - By Pepperazi,Rs.
112466,Jay Nilkanth Food,Rs.
18663856,The Red Bistro,Rs.
18766904,The Secret Kitchen,Rs.
18627705,I Love Sandwich House,Rs.
18819827,Kadak Bhagat,Rs.
18874418,Upri Manzil,Rs.
18578691,Bogarosa,Rs.
110026,Barbeque Nation,Rs.
18545544,Mocha,Rs.
113234,Shree Annpurna,Rs.
111826,Yanki Sizzlers,Rs.
18480250,Cafe De Italiano,Rs.
120687,Subway,Rs.
18848676,Beach N Brew,Rs.
121896,Bhena Da Dhaba,Rs.
121335,Pirates of Grill,Rs.
121316,Nando's,Rs.
124170,Sector 7 Social,Rs.
18634639,Pradhan Dhaba,Rs.
123013,Amrit Sweets,Rs.
120767,New Panna Sweets,Rs.
18694731,DND - Daily Nutritional Diet,Rs.
122418,Burger King,Rs.
120999,Jalandhar Sweets,Rs.
121425,Super Donuts,Rs.
124158,The Hedgehog Café,Rs.
123043,Khalsa Dhaba,Rs.
18609823,Falcon Cafe Lounge,Rs.
122653,Food@U,Rs.
120554,Books N Brew,Rs.
122875,Tossin Pizza,Rs.
123191,CAFÈ JC's,Rs.
130309,Purple Martini,Rs.
130409,Baba Au Rhum,Rs.
16512333,Britto's Bar & Restaurant,Rs.
16524239,Bay 15,Rs.
130535,The Fisherman's Wharf,Rs.
18685303,The Fisherman's Wharf,Rs.
130427,Artjuna,Rs.
18601542,The Lazy Goose,Rs.
130888,The Black Sheep Bistro,Rs.
18555916,Tio Tilly's Bar & Kitchen,Rs.
16519168,Martin's Corner,Rs.
16512336,Fat Fish,Rs.
130230,Curlies,Rs.
16525595,Cafe Cotinga,Rs.
18232814,Kokni Kanteen,Rs.
